Mot,Cat.Gram,Fréquence,numbre de lettres,structure morpho,Condition
portail,N,4.14,7.0,0-1-1,réel_haut_long_complexe
étoiles,N,4.59,7.0,0-1-1,réel_haut_long_complexe
légumes,N,4.27,7.0,0-1-1,réel_haut_long_complexe
poignée,N,4.13,7.0,0-1-1,réel_haut_long_complexe
billets,N,4.48,7.0,0-1-1,réel_haut_long_complexe
clients,N,4.83,7.0,0-1-1,réel_haut_long_complexe
naturel,Adj,4.72,7.0,0-1-1,réel_haut_long_complexe
inconnu,Adj,4.38,7.0,1-1-0,réel_haut_long_complexe
illégal,Adj,4.06,7.0,1-1-0,réel_haut_long_complexe
mariage,N,5.05,7.0,0-1-1,réel_haut_long_complexe
liberté,N,5.05,7.0,0-1-1,réel_haut_long_complexe
justice,N,5.12,7.0,0-1-1,réel_haut_long_complexe
artiste,N,4.74,7.0,0-1-1,réel_haut_long_complexe
maladie,N,4.88,7.0,0-1-1,réel_haut_long_complexe
réalité,N,5.04,7.0,0-1-1,réel_haut_long_complexe
insectes,N,4.13,8.0,0-1-1,réel_haut_long_complexe
uniforme,N,4.26,8.0,0-1-1,réel_haut_long_complexe
poissons,N,4.43,8.0,0-1-1,réel_haut_long_complexe
colonnes,N,4.08,8.0,0-1-1,réel_haut_long_complexe
montagne,N,4.62,8.0,0-1-1,réel_haut_long_complexe
céréales,N,4.08,8.0,0-1-1,réel_haut_long_complexe
chiffres,N,4.76,8.0,0-1-1,réel_haut_long_complexe
remarque,N,4.54,8.0,1-1-0,réel_haut_long_complexe
sécurité,N,5.24,8.0,0-1-1,réel_haut_long_complexe
étranger,N,4.86,8.0,0-1-1,réel_haut_long_complexe
décision,N,4.97,8.0,0-1-1,réel_haut_long_complexe
quartier,N,4.93,8.0,0-1-1,réel_haut_long_complexe
deuxième,Adj,5.24,8.0,0-1-1,réel_haut_long_complexe
vraiment,Adv,5.8,8.0,0-1-1,réel_haut_long_complexe
français,Adj/N,5.78,8.0,0-1-1,réel_haut_long_complexe
cigarette,N,4.1,9.0,0-1-1,réel_haut_long_complexe
bouteille,N,4.41,9.0,0-1-1,réel_haut_long_complexe
médailles,N,4.08,9.0,0-1-1,réel_haut_long_complexe
chauffage,N,4.08,9.0,0-1-1,réel_haut_long_complexe
téléphone,N,5.0,9.0,0-1-1,réel_haut_long_complexe
assurance,N,4.74,9.0,0-1-1,réel_haut_long_complexe
éducation,N,4.95,9.0,0-1-1,réel_haut_long_complexe
découvert,Adj/N,4.72,9.0,0-1-1,réel_haut_long_complexe
sentiment,N,4.7,9.0,0-1-1,réel_haut_long_complexe
seulement,Adv,5.47,9.0,0-1-1,réel_haut_long_complexe
différent,Adj ,4.67,9.0,0-1-1,réel_haut_long_complexe
contraire,Adj/N,4.98,9.0,0-1-1,réel_haut_long_complexe
également,Adv,5.59,9.0,0-1-1,réel_haut_long_complexe
américain,N/Adj,5.06,9.0,0-1-1,réel_haut_long_complexe
personnel,N/Adj,4.95,9.0,0-1-1,réel_haut_long_complexe
bafé,,,,,pseudo_court_simple
baic,,,,,pseudo_court_simple
bait,,,,,pseudo_court_simple
bame,,,,,pseudo_court_simple
bane,,,,,pseudo_court_simple
bant,,,,,pseudo_court_simple
bobe,,,,,pseudo_court_simple
bone,,,,,pseudo_court_simple
boto,,,,,pseudo_court_simple
boup,,,,,pseudo_court_simple
boux,,,,,pseudo_court_simple
caic,,,,,pseudo_court_simple
caie,,,,,pseudo_court_simple
cain,,,,,pseudo_court_simple
cait,,,,,pseudo_court_simple
canc,,,,,pseudo_court_simple
cant,,,,,pseudo_court_simple
chau,,,,,pseudo_court_simple
chin,,,,,pseudo_court_simple
chit,,,,,pseudo_court_simple
cief,,,,,pseudo_court_simple
cieu,,,,,pseudo_court_simple
clel,,,,,pseudo_court_simple
cleu,,,,,pseudo_court_simple
fobe,,,,,pseudo_court_simple
fonc,,,,,pseudo_court_simple
foto,,,,,pseudo_court_simple
foue,,,,,pseudo_court_simple
fouf,,,,,pseudo_court_simple
foup,,,,,pseudo_court_simple
foux,,,,,pseudo_court_simple
lafé,,,,,pseudo_court_simple
lage,,,,,pseudo_court_simple
laic,,,,,pseudo_court_simple
lain,,,,,pseudo_court_simple
lanc,,,,,pseudo_court_simple
lane,,,,,pseudo_court_simple
lant,,,,,pseudo_court_simple
lase,,,,,pseudo_court_simple
lone,,,,,pseudo_court_simple
lont,,,,,pseudo_court_simple
lour,,,,,pseudo_court_simple
loux,,,,,pseudo_court_simple
mief,,,,,pseudo_court_simple
mieu,,,,,pseudo_court_simple
mobe,,,,,pseudo_court_simple
mone,,,,,pseudo_court_simple
mouf,,,,,pseudo_court_simple
moup,,,,,pseudo_court_simple
mour,,,,,pseudo_court_simple
moux,,,,,pseudo_court_simple
nafé,,,,,pseudo_court_simple
naie,,,,,pseudo_court_simple
nait,,,,,pseudo_court_simple
name,,,,,pseudo_court_simple
nanc,,,,,pseudo_court_simple
nane,,,,,pseudo_court_simple
nuic,,,,,pseudo_court_simple
nuie,,,,,pseudo_court_simple
nuin,,,,,pseudo_court_simple
oear,,,,,pseudo_court_simple
oeau,,,,,pseudo_court_simple
oenc,,,,,pseudo_court_simple
oent,,,,,pseudo_court_simple
oeue,,,,,pseudo_court_simple
oeur,,,,,pseudo_court_simple
pnef,,,,,pseudo_court_simple
pnel,,,,,pseudo_court_simple
pobe,,,,,pseudo_court_simple
ponc,,,,,pseudo_court_simple
pone,,,,,pseudo_court_simple
poto,,,,,pseudo_court_simple
poue,,,,,pseudo_court_simple
poup,,,,,pseudo_court_simple
rafé,,,,,pseudo_court_simple
raic,,,,,pseudo_court_simple
rant,,,,,pseudo_court_simple
ronc,,,,,pseudo_court_simple
rone,,,,,pseudo_court_simple
ront,,,,,pseudo_court_simple
roup,,,,,pseudo_court_simple
rour,,,,,pseudo_court_simple
scic,,,,,pseudo_court_simple
scin,,,,,pseudo_court_simple
scit,,,,,pseudo_court_simple
vafé,,,,,pseudo_court_simple
vage,,,,,pseudo_court_simple
vaic,,,,,pseudo_court_simple
vaie,,,,,pseudo_court_simple
vait,,,,,pseudo_court_simple
vame,,,,,pseudo_court_simple
vanc,,,,,pseudo_court_simple
vant,,,,,pseudo_court_simple
vave,,,,,pseudo_court_simple
vear,,,,,pseudo_court_simple
venc,,,,,pseudo_court_simple
vene,,,,,pseudo_court_simple
veue,,,,,pseudo_court_simple
veup,,,,,pseudo_court_simple
veur,,,,,pseudo_court_simple
aiant,,,,,pseudo_court_simple
aibon,,,,,pseudo_court_simple
ainte,,,,,pseudo_court_simple
aiver,,,,,pseudo_court_simple
ancal,,,,,pseudo_court_simple
auche,,,,,pseudo_court_simple
avace,,,,,pseudo_court_simple
avaci,,,,,pseudo_court_simple
avave,,,,,pseudo_court_simple
brace,,,,,pseudo_court_simple
brâce,,,,,pseudo_court_simple
brano,,,,,pseudo_court_simple
brice,,,,,pseudo_court_simple
brile,,,,,pseudo_court_simple
brulà,,,,,pseudo_court_simple
brule,,,,,pseudo_court_simple
brunt,,,,,pseudo_court_simple
claci,,,,,pseudo_court_simple
clane,,,,,pseudo_court_simple
clano,,,,,pseudo_court_simple
clave,,,,,pseudo_court_simple
cocre,,,,,pseudo_court_simple
coêle,,,,,pseudo_court_simple
coeue,,,,,pseudo_court_simple
