Pseudoword,Word,Lemma,prs,n_morphemes,Length
tuelie,tuerie,tuer,"(0, 1, 1)",2,6
tliage,triage,tri,"(0, 1, 1)",2,6
tliade,triade,tri,"(0, 1, 1)",2,6
tiloir,tiroir,tir,"(0, 1, 1)",2,6
tileur,tireur,tir,"(0, 1, 1)",2,6
tilage,tirage,tir,"(0, 1, 1)",2,6
tiqwai,tiquai,tic,"(0, 1, 1)",2,6
tinbré,timbré,timbre,"(0, 1, 1)",2,6
tielcé,tiercé,tiers,"(0, 1, 1)",2,6
telrai,terrai,terre,"(0, 1, 1)",2,6
terngi,terni,terne,"(0, 1, 1)",2,6
tatowé,tatoué,tatou,"(0, 1, 1)",2,6
tairla,tailla,taille,"(0, 1, 1)",2,6
syrfer,surfer,surf,"(0, 1, 1)",2,6
soycia,soucia,souci,"(0, 1, 1)",2,6
valsel,valser,valse,"(0, 1, 1)",2,6
varidé,validé,valide,"(0, 1, 1)",2,6
viorée,violée,viol,"(0, 1, 1)",2,6
trwqué,truqué,truc,"(0, 1, 1)",2,6
tryffé,truffé,truffe,"(0, 1, 1)",2,6
tliple,triple,tri,"(0, 1, 1)",2,6
tliché,triché,triche,"(0, 1, 1)",2,6
tliait,triait,tri,"(0, 1, 1)",2,6
tlessé,tressé,tresse,"(0, 1, 1)",2,6
tlacté,tracté,tract,"(0, 1, 1)",2,6
towssa,toussa,toux,"(0, 1, 1)",2,6
toqyée,toquée,toque,"(0, 1, 1)",2,6
tocald,tocard,toc,"(0, 1, 1)",2,6
tilade,tirade,tir,"(0, 1, 1)",2,6
tielce,tierce,tier,"(0, 1, 1)",2,6
teneul,teneur,tenir,"(0, 1, 1)",2,6
sûleté,sûreté,sûr,"(0, 1, 1)",2,6
swante,suante,suer,"(0, 1, 1)",2,6
suaile,suaire,suer,"(0, 1, 1)",2,6
soltie,sortie,sortir,"(0, 1, 1)",2,6
sonole,sonore,son,"(0, 1, 1)",2,6
soilée,soirée,soir,"(0, 1, 1)",2,6
sciyre,sciure,scie,"(0, 1, 1)",2,6
sapeul,sapeur,saper,"(0, 1, 1)",2,6
sagnté,santé,sain,"(0, 1, 1)",2,6
déblis,débris,bris,"(1, 1, 0)",2,6
vouagé,voyagé,voyage,"(0, 1, 1)",2,6
vorage,volage,vol,"(0, 1, 1)",2,6
vélolé,vérolé,vérole,"(0, 1, 1)",2,6
verbar,verbal,verb,"(0, 1, 1)",2,6
veingé,veiné,veine,"(0, 1, 1)",2,6
vaseyx,vaseux,vase,"(0, 1, 1)",2,6
vagnna,vanna,vanne,"(0, 1, 1)",2,6
lenvoi,renvoi,envoi,"(1, 1, 0)",2,6
regnet,remet,mettre,"(1, 1, 0)",2,6
lelire,relire,lire,"(1, 1, 0)",2,6
legain,regain,gain,"(1, 1, 0)",2,6
lecoin,recoin,coin,"(1, 1, 0)",2,6
lebord,rebord,bord,"(1, 1, 0)",2,6
lavoir,ravoir,avoir,"(1, 1, 0)",2,6
rapper,rappel,appel,"(1, 1, 0)",2,6
lachat,rachat,achat,"(1, 1, 0)",2,6
powrvu,pourvu,vue,"(1, 1, 0)",2,6
éplise,éprise,priser,"(1, 1, 0)",2,6
éperdy,éperdu,perdre,"(1, 1, 0)",2,6
envels,envers,verse,"(1, 1, 0)",2,6
arlégé,allégé,léger,"(1, 1, 0)",2,6
afflyx,afflux,flux,"(1, 1, 0)",2,6
sulvis,survis,voir,"(1, 1, 0)",2,6
louvre,rouvre,ouvre,"(1, 1, 0)",2,6
levoie,revoie,voie,"(1, 1, 0)",2,6
levins,revins,vin,"(1, 1, 0)",2,6
levend,revend,vendre,"(1, 1, 0)",2,6
réveir,réveil,éveil,"(1, 1, 0)",2,6
levécu,revécu,vivre,"(1, 1, 0)",2,6
letour,retour,tour,"(1, 1, 0)",2,6
letard,retard,tard,"(1, 1, 0)",2,6
lepars,repars,partir,"(1, 1, 0)",2,6
sarins,salins,sel,"(0, 1, 1)",2,6
sareté,saleté,sale,"(0, 1, 1)",2,6
ryelle,ruelle,rue,"(0, 1, 1)",2,6
rwades,ruades,ruer,"(0, 1, 1)",2,6
rouale,royale,roi,"(0, 1, 1)",2,6
roylis,roulis,rouler,"(0, 1, 1)",2,6
royget,rouget,rouge,"(0, 1, 1)",2,6
losier,rosier,rose,"(0, 1, 1)",2,6
losace,rosace,rose,"(0, 1, 1)",2,6
