Word,Root,Wordlength,Structure,Lexicality,Length,Frequency,Morphological Complexity,Zipf Frequency,Condition
caractère,,9,r,real,long,high,simple,4.8,RLHS
margarine,,9,r,real,long,low,simple,2.81,RLLS
marijuana,,9,r,real,long,low,simple,3.48,RLLS
marmaille,,9,r,real,long,low,simple,2.36,RLLS
marmelade,,9,r,real,long,low,simple,2.53,RLLS
spaghetti,,9,r,real,long,low,simple,3.25,RLLS
spectacle,,9,r,real,long,high,simple,4.73,RLHS
enveloppe,,9,r,real,long,high,simple,4.14,RLHS
cartouche,,9,r,real,long,medium,simple,3.52,RLHS
casserole,,9,r,real,long,medium,simple,3.51,RLHS
cataracte,,9,r,real,long,low,simple,2.82,RLLS
cauchemar,,9,r,real,long,high,simple,4.01,RLHS
améthyste,,9,r,real,long,low,simple,2.53,RLLS
synagogue,,9,r,real,long,low,simple,3.44,RLLS
cérémonie,,9,r,real,long,high,simple,4.46,RLHS
mirabelle,,9,r,real,long,low,simple,2.6,RLLS
espéranto,,9,r,real,long,low,simple,2.74,RLLS
champagne,,9,r,real,long,high,simple,4.37,RLHS
moustache,,9,r,real,long,medium,simple,3.71,RLHS
charlatan,,9,r,real,long,low,simple,2.97,RLLS
chimpanzé,,9,r,real,long,low,simple,2.82,RLLS
cicatrice,,9,r,real,long,low,simple,3.42,RLLS
pacotille,,9,r,real,long,low,simple,2.86,RLLS
clavicule,,9,r,real,long,low,simple,3.06,RLLS
vaisselle,,9,r,real,long,medium,simple,3.98,RLHS
pantomime,,9,r,real,long,low,simple,2.74,RLLS
framboise,,9,r,real,long,low,simple,3.15,RLLS
parchemin,,9,r,real,long,low,simple,3.31,RLLS
concombre,,9,r,real,long,low,simple,3.2,RLLS
véhicule,,8,r,real,long,high,simple,4.61,RLHS
immeuble,,8,r,real,long,high,simple,4.49,RLHS
vinaigre,,8,r,real,long,medium,simple,3.65,RLHS
confetti,,8,r,real,long,low,simple,2.32,RLLS
perplexe,,8,r,real,long,low,simple,3.49,RLLS
perruque,,8,r,real,long,low,simple,3.48,RLLS
personne,,8,r,real,long,high,simple,5.73,RLHS
zodiaque,,8,r,real,long,low,simple,3.32,RLLS
pétanque,,8,r,real,long,low,simple,3.34,RLLS
phalange,,8,r,real,long,low,simple,2.95,RLLS
conquête,,8,r,real,long,high,simple,4.2,RLHS
agricole,,8,r,real,long,high,simple,4.47,RLHS
pingouin,,8,r,real,long,low,simple,3.2,RLLS
aiguille,,8,r,real,long,medium,simple,3.9,RLHS
gouaille,,8,r,real,long,low,simple,2.25,RLLS
contexte,,8,r,real,long,high,simple,4.79,RLHS
amalgame,,8,r,real,long,low,simple,3.49,RLLS
pizzeria,,8,r,real,long,low,simple,3.19,RLLS
amertume,,8,r,real,long,medium,simple,3.54,RLHS
gourmand,,8,r,real,long,low,simple,3.44,RLLS
angoisse,,8,r,real,long,high,simple,4.02,RLHS
graffiti,,8,r,real,long,low,simple,3.29,RLLS
liturgie,,8,r,real,long,low,simple,3.39,RLLS
plastron,,8,r,real,long,low,simple,2.67,RLLS
boussole,,8,r,real,long,low,simple,3.35,RLLS
argentin,,8,r,real,long,medium,simple,3.85,RLHS
poitrail,,8,r,real,long,low,simple,2.42,RLLS
poitrine,,8,r,real,long,high,simple,4.25,RLHS
polisson,,8,r,real,long,low,simple,2.18,RLLS
guenille,,8,r,real,long,low,simple,1.96,RLLS
corniche,,8,r,real,long,low,simple,3.27,RLLS
guimauve,,8,r,real,long,low,simple,2.88,RLLS
marmotte,,8,r,real,long,low,simple,3.02,RLLS
poubelle,,8,r,real,long,high,simple,4.07,RLHS
aisselle,,8,r,real,long,low,simple,2.78,RLLS
pouliche,,8,r,real,long,low,simple,2.52,RLLS
massacre,,8,r,real,long,high,simple,4.13,RLHS
aventure,,8,r,real,long,high,simple,4.59,RLHS
matraque,,8,r,real,long,low,simple,3.31,RLLS
corridor,,8,r,real,long,low,simple,3.41,RLLS
balbutia,,8,r,real,long,low,simple,1.64,RLLS
brancard,,8,r,real,long,low,simple,2.78,RLLS
banquise,,8,r,real,long,low,simple,3.16,RLLS
hanneton,,8,r,real,long,low,simple,2.1,RLLS
artifice,,8,r,real,long,medium,simple,3.78,RLHS
bataille,,8,r,real,long,high,simple,4.7,RLHS
mercerie,,8,r,real,long,low,simple,2.69,RLLS
batterie,,8,r,real,long,high,simple,4.5,RLHS
beaucoup,,8,r,real,long,high,simple,5.75,RLHS
prestige,,8,r,real,long,medium,simple,3.96,RLHS
prétoire,,8,r,real,long,low,simple,2.68,RLLS
cotillon,,8,r,real,long,low,simple,2.12,RLLS
principe,,8,r,real,long,high,simple,4.92,RLHS
problème,,8,r,real,long,high,simple,5.41,RLHS
aspirine,,8,r,real,long,low,simple,3.04,RLLS
assassin,,8,r,real,long,medium,simple,3.82,RLHS
hibiscus,,8,r,real,long,low,simple,2.6,RLLS
histoire,,8,r,real,long,high,simple,5.64,RLHS
prophète,,8,r,real,long,high,simple,4.07,RLHS
prothèse,,8,r,real,long,low,simple,3.31,RLLS
prouesse,,8,r,real,long,low,simple,3.06,RLLS
province,,8,r,real,long,high,simple,4.8,RLHS
couscous,,8,r,real,long,low,simple,3.2,RLLS
couverte,,8,r,real,long,medium,simple,3.93,RLHS
cramoisi,,8,r,real,long,low,simple,2.53,RLLS
calomnie,,8,r,real,long,low,simple,3.06,RLLS
brouhaha,,8,r,real,long,low,simple,3.04,RLLS
pyramide,,8,r,real,long,medium,simple,3.75,RLHS
carrosse,,8,r,real,long,low,simple,3.08,RLLS
racaille,,8,r,real,long,low,simple,3.37,RLLS
chapelet,,8,r,real,long,low,simple,3.13,RLLS
chapitre,,8,r,real,long,high,simple,4.56,RLHS
crevette,,8,r,real,long,low,simple,3.18,RLLS
absinthe,,8,r,real,long,low,simple,2.91,RLLS
rambarde,,8,r,real,long,low,simple,2.6,RLLS
rancoeur,,8,r,real,long,low,simple,2.8,RLLS
atteinte,,8,r,real,long,high,simple,4.34,RLHS
bulletin,,8,r,real,long,high,simple,4.29,RLHS
walkman,,7,r,real,long,low,simple,2.43,RLLS
western,,7,r,real,long,medium,simple,3.74,RLHS
pervers,,7,r,real,long,medium,simple,3.94,RLHS
pétoche,,7,r,real,long,low,simple,1.68,RLLS
bourbon,,7,r,real,long,medium,simple,3.85,RLHS
bourrin,,7,r,real,long,low,simple,2.72,RLLS
voiture,,7,r,real,long,high,simple,5.19,RLHS
pharaon,,7,r,real,long,low,simple,3.36,RLLS
conseil,,7,r,real,long,high,simple,5.38,RLHS
bourdon,,7,r,real,long,low,simple,3.33,RLLS
adresse,,7,r,real,long,high,simple,4.94,RLHS
constat,,7,r,real,long,high,simple,4.12,RLHS
piscine,,7,r,real,long,high,simple,4.41,RLHS
gorille,,7,r,real,long,low,simple,3.17,RLLS
gouache,,7,r,real,long,low,simple,2.82,RLLS
goudron,,7,r,real,long,low,simple,3.22,RLLS
gouffre,,7,r,real,long,medium,simple,3.62,RLHS
placard,,7,r,real,long,medium,simple,3.91,RLHS
placide,,7,r,real,long,low,simple,2.88,RLLS
plafond,,7,r,real,long,high,simple,4.22,RLHS
liquide,,7,r,real,long,high,simple,4.42,RLHS
souffle,,7,r,real,long,high,simple,4.4,RLHS
plastic,,7,r,real,long,low,simple,3.02,RLLS
contrat,,7,r,real,long,high,simple,4.96,RLHS
grenade,,7,r,real,long,medium,simple,3.9,RLHS
grenier,,7,r,real,long,medium,simple,3.93,RLHS
griffon,,7,r,real,long,low,simple,2.9,RLLS
grillon,,7,r,real,long,low,simple,2.68,RLLS
gringue,,7,r,real,long,low,simple,1.38,RLLS
corbeau,,7,r,real,long,low,simple,3.46,RLLS
poisson,,7,r,real,long,high,simple,4.5,RLHS
gruyère,,7,r,real,long,low,simple,3.16,RLLS
guichet,,7,r,real,long,medium,simple,3.57,RLHS
guignol,,7,r,real,long,low,simple,3.28,RLLS
guitare,,7,r,real,long,high,simple,4.2,RLHS
haillon,,7,r,real,long,low,simple,1.58,RLLS
prairie,,7,r,real,long,medium,simple,3.62,RLHS
article,,7,r,real,long,high,simple,5.41,RLHS
haricot,,7,r,real,long,low,simple,3.13,RLLS
costard,,7,r,real,long,low,simple,3.36,RLLS
costaud,,7,r,real,long,low,simple,3.38,RLLS
cottage,,7,r,real,long,low,simple,3.0,RLLS
suicide,,7,r,real,long,high,simple,4.46,RLHS
couffin,,7,r,real,long,low,simple,2.32,RLLS
bouffon,,7,r,real,long,low,simple,3.4,RLLS
couloir,,7,r,real,long,high,simple,4.03,RLHS
honneur,,7,r,real,long,high,simple,5.0,RLHS
courage,,7,r,real,long,high,simple,4.77,RLHS
courbes,,7,r,real,long,medium,simple,3.76,RLHS
hôpital,,7,r,real,long,high,simple,4.85,RLHS
horizon,,7,r,real,long,high,simple,4.3,RLHS
horloge,,7,r,real,long,medium,simple,3.91,RLHS
brigade,,7,r,real,long,high,simple,4.12,RLHS
bricole,,7,r,real,long,low,simple,2.81,RLLS
vouvoie,,7,r,real,long,low,simple,2.29,RLLS
hospice,,7,r,real,long,low,simple,3.33,RLLS
bronche,,7,r,real,long,low,simple,2.66,RLLS
murmure,,7,r,real,long,low,simple,3.4,RLLS
asticot,,7,r,real,long,low,simple,2.46,RLLS
muscade,,7,r,real,long,low,simple,2.8,RLLS
brioche,,7,r,real,long,low,simple,3.27,RLLS
coussin,,7,r,real,long,medium,simple,3.53,RLHS
puberté,,7,r,real,long,low,simple,3.32,RLLS
couteau,,7,r,real,long,high,simple,4.32,RLHS
bristol,,7,r,real,long,low,simple,3.27,RLLS
volcan,,6,r,real,short,medium,simple,3.72,RSHS
volley,,6,r,real,short,medium,simple,3.51,RSHS
vortex,,6,r,real,short,low,simple,3.07,RSLS
perron,,6,r,real,short,low,simple,3.38,RSLS
yaourt,,6,r,real,short,medium,simple,3.51,RSHS
persil,,6,r,real,short,low,simple,3.16,RSLS
zénith,,6,r,real,short,medium,simple,3.54,RSHS
zigzag,,6,r,real,short,low,simple,2.77,RSLS
