Pseudoword,Word,Lemma,Levenshtein_Distance,prs,n_morphemes,Length
nevey,neveu,neveu,6,"(0, 1, 0)",1,5
gnets,nets,net,6,"(0, 1, 0)",1,5
polts,ports,ports,6,"(0, 1, 0)",1,5
polto,porto,porto,5,"(0, 1, 0)",1,5
poles,pores,pore,6,"(0, 1, 0)",1,5
lossa,rossa,rosser,6,"(0, 1, 0)",1,5
avale,avare,avare,7,"(0, 1, 0)",1,5
aytel,autel,autel,7,"(0, 1, 0)",1,5
aydio,audio,audio,6,"(0, 1, 0)",1,5
aycun,aucun,aucun,6,"(0, 1, 0)",1,5
serle,selle,selle,7,"(0, 1, 0)",1,5
sawva,sauva,sauver,7,"(0, 1, 0)",1,5
gnuit,nuit,nuit,6,"(0, 1, 0)",1,5
noyaw,noyau,noyau,5,"(0, 1, 0)",1,5
nôtle,nôtre,nôtre,6,"(0, 1, 0)",1,5
notle,notre,notre,5,"(0, 1, 0)",1,5
nolme,norme,norme,6,"(0, 1, 0)",1,5
ngord,nord,nord,5,"(0, 1, 0)",1,5
poile,poire,poire,6,"(0, 1, 0)",1,5
poêre,poêle,poêle,6,"(0, 1, 0)",1,5
sawce,sauce,sauce,7,"(0, 1, 0)",1,5
sable,sabre,sabre,7,"(0, 1, 0)",1,5
rowla,roula,rouler,6,"(0, 1, 0)",1,5
atoyt,atout,atout,5,"(0, 1, 0)",1,5
atras,atlas,atlas,7,"(0, 1, 0)",1,5
astle,astre,astre,7,"(0, 1, 0)",1,5
asire,asile,asile,7,"(0, 1, 0)",1,5
alrêt,arrêt,arrêt,7,"(0, 1, 0)",1,5
alôme,arôme,arôme,7,"(0, 1, 0)",1,5
alide,aride,aride,7,"(0, 1, 0)",1,5
soype,soupe,soupe,6,"(0, 1, 0)",1,5
sowdé,soudé,souder,6,"(0, 1, 0)",1,5
odeul,odeur,odeur,4,"(0, 1, 0)",1,5
obtws,obtus,obtus,5,"(0, 1, 0)",1,5
obore,obole,obole,5,"(0, 1, 0)",1,5
nwque,nuque,nuque,5,"(0, 1, 0)",1,5
prant,plant,plante,7,"(0, 1, 0)",1,5
praît,plaît,plaire,7,"(0, 1, 0)",1,5
praie,plaie,plaie,7,"(0, 1, 0)",1,5
prage,plage,plage,7,"(0, 1, 0)",1,5
