Word,Lemma,prs,freq,n_morphemes,Length,Lemma_Zipf_Frequency,Zipf_Frequency
accroupi,croupir,"(1, 1, 0)",2.53,2,8,2.44,2.64
advenait,venir,"(1, 1, 0)",7.93,2,8,5.18,1.97
affabule,fabule,"(1, 1, 0)",0.15,2,8,1.78,1.61
alanguie,languir,"(1, 1, 0)",0.14,2,8,2.59,1.71
allouait,louer,"(1, 1, 0)",0.0,2,8,4.17,1.46
métisser,métis,"(0, 1, 1)",0.0,2,8,3.37,1.49
meurtrir,meurtre,"(0, 1, 1)",0.42,2,8,4.52,1.68
mielleux,miel,"(0, 1, 1)",0.44,2,8,4.15,2.52
milicien,milice,"(0, 1, 1)",0.77,2,8,3.72,2.6
millième,mille,"(0, 1, 1)",0.31,2,8,4.64,2.84
veinarde,veine,"(0, 1, 1)",6.74,2,8,3.8,1.89
treillis,treill,"(0, 1, 1)",0.45,2,8,0.0,3.13
triplées,triple,"(0, 1, 1)",1.45,2,8,4.14,1.99
trouveur,trouver,"(0, 1, 1)",0.02,2,8,5.43,1.42
truffier,truffe,"(0, 1, 1)",0.0,2,8,3.14,1.79
tyrannie,tyran,"(0, 1, 1)",2.64,2,8,3.45,3.45
minuteur,minute,"(0, 1, 1)",0.98,2,8,4.67,2.5
confrère,frère,"(1, 1, 0)",3.97999999999999,2,8,5.18,3.39
contenue,tenue,"(1, 1, 0)",0.82,2,8,4.62,3.49
copilote,pilote,"(1, 1, 0)",1.5,2,8,4.52,3.2
débourre,bourrer,"(1, 1, 0)",0.0,2,8,3.14,1.15
maritaux,mari,"(0, 1, 1)",0.13,2,8,4.8,1.19
marxisme,marx,"(0, 1, 1)",0.94,2,8,3.89,3.42
découche,coucher,"(1, 1, 0)",0.37,2,8,4.56,1.42
découdre,coudre,"(1, 1, 0)",0.42,2,8,3.38,3.04
